[2024-06-06T15:04:05.977+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01201%3A_STIF%3AStopPoint%3AQ%3A7848%3A [status:201 duration:0.206s]
[2024-06-06T15:04:06.206+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00557%3A_STIF%3AStopPoint%3AQ%3A21467%3A [status:201 duration:0.227s]
[2024-06-06T15:04:06.443+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00774%3A_STIF%3AStopPoint%3AQ%3A9085%3A [status:201 duration:0.234s]
[2024-06-06T15:04:06.627+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01105%3A_STIF%3AStopPoint%3AQ%3A26310%3A [status:201 duration:0.183s]
[2024-06-06T15:04:06.797+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01398%3A_STIF%3AStopPoint%3AQ%3A26310%3A [status:201 duration:0.168s]
[2024-06-06T15:04:06.980+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02077%3A_STIF%3AStopPoint%3AQ%3A6342%3A [status:201 duration:0.179s]
[2024-06-06T15:04:07.246+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01095%3A_STIF%3AStopPoint%3AQ%3A28683%3A [status:201 duration:0.265s]
[2024-06-06T15:04:07.696+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01316%3A_STIF%3AStopPoint%3AQ%3A23787%3A [status:201 duration:0.447s]
[2024-06-06T15:04:07.943+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01210%3A_STIF%3AStopPoint%3AQ%3A23787%3A [status:201 duration:0.245s]
[2024-06-06T15:04:08.224+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02455%3A_STIF%3AStopPoint%3AQ%3A15288%3A [status:201 duration:0.278s]
[2024-06-06T15:04:08.816+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00551%3A_STIF%3AStopPoint%3AQ%3A19833%3A [status:201 duration:0.586s]
[2024-06-06T15:04:09.011+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00803%3A_STIF%3AStopPoint%3AQ%3A19833%3A [status:201 duration:0.191s]
[2024-06-06T15:04:09.182+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02619%3A_STIF%3AStopPoint%3AQ%3A19833%3A [status:201 duration:0.165s]
[2024-06-06T15:04:09.375+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00118%3A_STIF%3AStopPoint%3AQ%3A13588%3A [status:201 duration:0.187s]
[2024-06-06T15:04:09.768+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00655%3A_STIF%3AStopPoint%3AQ%3A13588%3A [status:201 duration:0.387s]
[2024-06-06T15:04:09.995+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00753%3A_STIF%3AStopPoint%3AQ%3A13588%3A [status:201 duration:0.218s]
[2024-06-06T15:04:10.162+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01713%3A_STIF%3AStopPoint%3AQ%3A15250%3A [status:201 duration:0.161s]
[2024-06-06T15:04:10.331+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00632%3A_STIF%3AStopPoint%3AQ%3A15250%3A [status:201 duration:0.161s]
[2024-06-06T15:04:10.502+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00631%3A_STIF%3AStopPoint%3AQ%3A15250%3A [status:201 duration:0.162s]
