[2024-06-06T12:15:34.253+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T12:15:32.797299+00:00 [queued]>
[2024-06-06T12:15:34.259+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T12:15:32.797299+00:00 [queued]>
[2024-06-06T12:15:34.260+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T12:15:34.384+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_arrets_lignes> on 2024-06-06 12:15:32.797299+00:00
[2024-06-06T12:15:34.386+0000] {standard_task_runner.py:57} INFO - Started process 171 to run task
[2024-06-06T12:15:34.389+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_arrets_lignes', 'manual__2024-06-06T12:15:32.797299+00:00', '--job-id', '174', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpj92yboff']
[2024-06-06T12:15:34.393+0000] {standard_task_runner.py:85} INFO - Job 174: Subtask fetch_and_insert_into_elasticsearch_arrets_lignes
[2024-06-06T12:15:40.328+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A18986 [status:200 duration:0.218s]
[2024-06-06T12:15:40.567+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A486165 [status:200 duration:0.229s]
[2024-06-06T12:15:40.813+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19255 [status:200 duration:0.236s]
[2024-06-06T12:15:41.051+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19066 [status:200 duration:0.227s]
[2024-06-06T12:15:41.280+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A24243 [status:200 duration:0.221s]
[2024-06-06T12:15:41.524+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19323 [status:200 duration:0.236s]
[2024-06-06T12:15:41.767+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19282 [status:200 duration:0.232s]
[2024-06-06T12:15:42.001+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A18880 [status:200 duration:0.227s]
[2024-06-06T12:15:42.440+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A462938 [status:200 duration:0.435s]
[2024-06-06T12:15:42.728+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A491504 [status:200 duration:0.280s]
