[2024-06-06T14:03:21.651+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/332_Goncourt [status:200 duration:0.236s]
[2024-06-06T14:03:21.904+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/297_Gabriel%20P%C3%A9ri [status:200 duration:0.245s]
[2024-06-06T14:03:22.149+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/279_Faidherbe%20Chaligny [status:200 duration:0.238s]
[2024-06-06T14:03:22.377+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/280_Falgui%C3%A8re [status:200 duration:0.225s]
[2024-06-06T14:03:22.619+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/543_Michel%20Ange-Auteuil [status:200 duration:0.237s]
[2024-06-06T14:03:22.875+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/416_La%20Fourche [status:200 duration:0.250s]
[2024-06-06T14:03:23.116+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/443_Le%20Peletier [status:200 duration:0.234s]
[2024-06-06T14:03:23.358+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/459_Les%20Gobelins [status:200 duration:0.234s]
[2024-06-06T14:03:23.586+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/489_Madeleine [status:200 duration:0.219s]
[2024-06-06T14:03:23.841+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/496_Mairie%20d%27Ivry [status:200 duration:0.247s]
[2024-06-06T14:03:24.090+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/626_Passy [status:200 duration:0.242s]
[2024-06-06T14:03:24.316+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/628_Pasteur [status:200 duration:0.217s]
[2024-06-06T14:03:24.571+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/634_P%C3%A8re%20Lachaise [status:200 duration:0.245s]
[2024-06-06T14:03:24.800+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/651_Place%20des%20F%C3%AAtes [status:200 duration:0.222s]
[2024-06-06T14:03:25.037+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/654_Place%20d%27Italie [status:200 duration:0.228s]
[2024-06-06T14:03:25.274+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/600_Notre-Dame-de-Lorette [status:200 duration:0.231s]
[2024-06-06T14:03:25.492+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/606_Op%C3%A9ra [status:200 duration:0.216s]
[2024-06-06T14:03:25.714+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/693_Porte%20de%20Montreuil [status:200 duration:0.221s]
[2024-06-06T14:03:25.955+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/836_Strasbourg-Saint-Denis [status:200 duration:0.235s]
[2024-06-06T14:03:26.190+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/842_Sully-Morland [status:200 duration:0.225s]
[2024-06-06T14:03:26.418+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/848_T%C3%A9l%C3%A9graphe [status:200 duration:0.222s]
[2024-06-06T14:03:26.654+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/695_Porte%20de%20Saint-Cloud [status:200 duration:0.227s]
[2024-06-06T14:03:26.881+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/704_Porte%20d%27Ivry [status:200 duration:0.222s]
[2024-06-06T14:03:27.126+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/716_Pyr%C3%A9n%C3%A9es [status:200 duration:0.236s]
[2024-06-06T14:03:27.500+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/717_Quai%20de%20la%20Gare [status:200 duration:0.367s]
[2024-06-06T14:03:27.794+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/719_Quatre%20Septembre [status:200 duration:0.287s]
[2024-06-06T14:03:28.032+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/762_Saint-Denis%20-%20Porte%20de%20Paris [status:200 duration:0.228s]
[2024-06-06T14:03:28.189+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/923_Wagram [status:200 duration:0.155s]
[2024-06-06T14:03:28.416+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/877_Vaugirard [status:200 duration:0.224s]
[2024-06-06T14:03:28.665+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1008_Les%20Courtilles [status:200 duration:0.239s]
[2024-06-06T14:03:28.893+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/986_Porte%20d%27Orl%C3%A9ans [status:200 duration:0.224s]
[2024-06-06T14:03:29.134+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/314_Gare%20de%20l%27Est [status:200 duration:0.232s]
[2024-06-06T14:03:29.363+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/564_Montparnasse-Bienven%C3%BCe [status:200 duration:0.224s]
[2024-06-06T14:03:29.618+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1017_Funiculaire%20Montmartre%20Station%20Basse [status:200 duration:0.245s]
[2024-06-06T14:03:29.867+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/389_Kl%C3%A9ber [status:200 duration:0.245s]
[2024-06-06T14:03:30.066+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/533_M%C3%A9nilmontant [status:200 duration:0.197s]
[2024-06-06T14:03:30.322+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/555_Montgallet [status:200 duration:0.247s]
[2024-06-06T14:03:30.496+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/492_Mairie%20de%20Montreuil [status:200 duration:0.167s]
[2024-06-06T14:03:30.661+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/646_Pigalle [status:200 duration:0.157s]
[2024-06-06T14:03:30.887+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/684_Porte%20de%20Bagnolet [status:200 duration:0.223s]
[2024-06-06T14:03:31.135+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/850_Ternes [status:200 duration:0.241s]
[2024-06-06T14:03:31.375+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/709_Pr%C3%A9%20Saint-Gervais [status:200 duration:0.234s]
[2024-06-06T14:03:31.636+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/752_Rue%20du%20Bac [status:200 duration:0.254s]
[2024-06-06T14:03:31.870+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/896_Villejuif%20-%20L%C3%A9o%20Lagrange [status:200 duration:0.228s]
[2024-06-06T14:03:32.118+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/210_Corentin%20Celton [status:200 duration:0.238s]
[2024-06-06T14:03:32.357+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/479_Lourmel [status:200 duration:0.233s]
[2024-06-06T14:03:32.591+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/495_Mairie%20d%27Issy [status:200 duration:0.225s]
[2024-06-06T14:03:32.834+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/683_Porte%20d%27Auteuil [status:200 duration:0.232s]
[2024-06-06T14:03:33.061+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/705_Porte%20Dor%C3%A9e [status:200 duration:0.223s]
[2024-06-06T14:03:33.296+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/718_Quai%20de%20la%20Rap%C3%A9e [status:200 duration:0.224s]
[2024-06-06T14:03:33.517+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1083_Les%20Courtilles [status:200 duration:0.218s]
[2024-06-06T14:03:33.770+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/561_Montparnasse [status:200 duration:0.246s]
[2024-06-06T14:03:33.993+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/312_Gare%20d%27Austerlitz [status:200 duration:0.222s]
[2024-06-06T14:03:34.239+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/962_Gare%20de%20Lyon [status:200 duration:0.240s]
[2024-06-06T14:03:34.491+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1227_Porte%20de%20Clichy [status:200 duration:0.244s]
[2024-06-06T14:03:34.728+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1225_H%C3%B4pital%20de%20Montfermeil [status:200 duration:0.230s]
