[2024-06-06T14:09:33.313+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/145_Champs-%C3%89lys%C3%A9es%20%E2%80%93%20Clemenceau [status:200 duration:0.277s]
[2024-06-06T14:09:33.516+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/197_Commerce [status:200 duration:0.195s]
[2024-06-06T14:09:33.723+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/201_Concorde [status:200 duration:0.197s]
[2024-06-06T14:09:33.917+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/332_Goncourt [status:200 duration:0.192s]
[2024-06-06T14:09:34.109+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/297_Gabriel%20P%C3%A9ri [status:200 duration:0.190s]
[2024-06-06T14:09:34.368+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/279_Faidherbe%20Chaligny [status:200 duration:0.255s]
[2024-06-06T14:09:34.630+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/280_Falgui%C3%A8re [status:200 duration:0.252s]
[2024-06-06T14:09:34.845+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/543_Michel%20Ange-Auteuil [status:200 duration:0.207s]
[2024-06-06T14:09:35.082+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/416_La%20Fourche [status:200 duration:0.226s]
[2024-06-06T14:09:35.326+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/443_Le%20Peletier [status:200 duration:0.241s]
[2024-06-06T14:09:35.558+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/459_Les%20Gobelins [status:200 duration:0.223s]
[2024-06-06T14:09:35.802+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/489_Madeleine [status:200 duration:0.240s]
[2024-06-06T14:09:36.278+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/496_Mairie%20d%27Ivry [status:200 duration:0.474s]
