[2024-06-06T14:22:12.101+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/332_Goncourt [status:200 duration:0.239s]
[2024-06-06T14:22:12.302+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/297_Gabriel%20P%C3%A9ri [status:200 duration:0.199s]
[2024-06-06T14:22:12.596+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/279_Faidherbe%20Chaligny [status:200 duration:0.283s]
[2024-06-06T14:22:12.798+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/280_Falgui%C3%A8re [status:200 duration:0.199s]
[2024-06-06T14:22:13.018+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/543_Michel%20Ange-Auteuil [status:200 duration:0.211s]
[2024-06-06T14:22:13.260+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/416_La%20Fourche [status:200 duration:0.239s]
[2024-06-06T14:22:13.456+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/443_Le%20Peletier [status:200 duration:0.193s]
[2024-06-06T14:22:13.695+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/459_Les%20Gobelins [status:200 duration:0.236s]
[2024-06-06T14:22:13.948+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/489_Madeleine [status:200 duration:0.244s]
[2024-06-06T14:22:14.150+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/496_Mairie%20d%27Ivry [status:200 duration:0.191s]
[2024-06-06T14:22:14.375+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/626_Passy [status:200 duration:0.221s]
[2024-06-06T14:22:14.564+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/628_Pasteur [status:200 duration:0.181s]
[2024-06-06T14:22:14.864+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/634_P%C3%A8re%20Lachaise [status:200 duration:0.296s]
[2024-06-06T14:22:15.053+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/651_Place%20des%20F%C3%AAtes [status:200 duration:0.183s]
[2024-06-06T14:22:15.301+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/654_Place%20d%27Italie [status:200 duration:0.238s]
[2024-06-06T14:22:15.544+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/600_Notre-Dame-de-Lorette [status:200 duration:0.235s]
[2024-06-06T14:22:15.796+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/606_Op%C3%A9ra [status:200 duration:0.243s]
[2024-06-06T14:22:16.077+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/693_Porte%20de%20Montreuil [status:200 duration:0.278s]
[2024-06-06T14:22:16.327+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/836_Strasbourg-Saint-Denis [status:200 duration:0.239s]
[2024-06-06T14:22:16.577+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/842_Sully-Morland [status:200 duration:0.234s]
[2024-06-06T14:22:16.810+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/848_T%C3%A9l%C3%A9graphe [status:200 duration:0.226s]
[2024-06-06T14:22:17.060+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/695_Porte%20de%20Saint-Cloud [status:200 duration:0.239s]
[2024-06-06T14:22:17.304+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/704_Porte%20d%27Ivry [status:200 duration:0.235s]
[2024-06-06T14:22:17.531+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/716_Pyr%C3%A9n%C3%A9es [status:200 duration:0.223s]
[2024-06-06T14:22:17.868+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/717_Quai%20de%20la%20Gare [status:200 duration:0.327s]
[2024-06-06T14:22:18.208+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/719_Quatre%20Septembre [status:200 duration:0.328s]
[2024-06-06T14:22:18.482+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/762_Saint-Denis%20-%20Porte%20de%20Paris [status:200 duration:0.267s]
[2024-06-06T14:22:18.836+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/923_Wagram [status:200 duration:0.352s]
