[2024-06-05T08:25:44.688+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/332_Goncourt [status:201 duration:0.116s]
[2024-06-05T08:25:44.806+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/297_Gabriel%20P%C3%A9ri [status:201 duration:0.115s]
[2024-06-05T08:25:44.932+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/279_Faidherbe%20Chaligny [status:201 duration:0.119s]
[2024-06-05T08:25:45.059+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/280_Falgui%C3%A8re [status:201 duration:0.117s]
[2024-06-05T08:25:45.187+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/543_Michel%20Ange-Auteuil [status:201 duration:0.118s]
[2024-06-05T08:25:45.314+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/416_La%20Fourche [status:201 duration:0.117s]
[2024-06-05T08:25:45.442+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/443_Le%20Peletier [status:201 duration:0.119s]
[2024-06-05T08:25:45.572+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/459_Les%20Gobelins [status:201 duration:0.120s]
[2024-06-05T08:25:45.697+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/489_Madeleine [status:201 duration:0.116s]
[2024-06-05T08:25:45.821+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/496_Mairie%20d%27Ivry [status:201 duration:0.117s]
[2024-06-05T08:25:45.942+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/626_Passy [status:201 duration:0.116s]
[2024-06-05T08:25:46.067+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/628_Pasteur [status:201 duration:0.118s]
[2024-06-05T08:25:46.190+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/634_P%C3%A8re%20Lachaise [status:201 duration:0.118s]
[2024-06-05T08:25:46.314+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/651_Place%20des%20F%C3%AAtes [status:201 duration:0.116s]
[2024-06-05T08:25:46.501+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/654_Place%20d%27Italie [status:201 duration:0.183s]
[2024-06-05T08:25:46.636+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/600_Notre-Dame-de-Lorette [status:201 duration:0.128s]
[2024-06-05T08:25:46.763+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/606_Op%C3%A9ra [status:201 duration:0.118s]
[2024-06-05T08:25:46.888+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/693_Porte%20de%20Montreuil [status:201 duration:0.117s]
[2024-06-05T08:25:47.009+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/836_Strasbourg-Saint-Denis [status:201 duration:0.115s]
[2024-06-05T08:25:47.131+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/842_Sully-Morland [status:201 duration:0.115s]
[2024-06-05T08:25:47.251+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/848_T%C3%A9l%C3%A9graphe [status:201 duration:0.116s]
[2024-06-05T08:25:47.374+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/695_Porte%20de%20Saint-Cloud [status:201 duration:0.119s]
[2024-06-05T08:25:47.497+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/704_Porte%20d%27Ivry [status:201 duration:0.115s]
[2024-06-05T08:25:47.619+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/716_Pyr%C3%A9n%C3%A9es [status:201 duration:0.117s]
[2024-06-05T08:25:47.742+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/717_Quai%20de%20la%20Gare [status:201 duration:0.116s]
[2024-06-05T08:25:47.863+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/719_Quatre%20Septembre [status:201 duration:0.114s]
